article_url,catalog_url,is_pdf,language,status,timestamp,worker_id,meta_info
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612020005014201&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=1&output=site&sort=&format=summary&fb=&page=1&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=1,0,en,Not Mined,2020-10-06 17:09:20.164296 UTC,ac756466-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S0100-54052020000100014&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=1&output=site&sort=&format=summary&fb=&page=1&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=1,1,en,Not Mined,2020-10-06 17:09:20.164296 UTC,ac756466-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052019000200216&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652019000500905&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652018000703493&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252019000100062&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S0102-05362018000400492&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052019000200219&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842020000100167&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S0102-05362019000100106&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362019000100106&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842020000100194&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362019000300354&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1981-67232018000100456&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S0102-05362019000300354&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1519-69842020000100194&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652019000500853&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1519-69842020000100167&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232018001204199&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362018000400492&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1981-67232019000100417&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S0001-37652018000703493&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362018000300306&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232018000100456&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1983-21252019000100062&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S0102-05362018000300306&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,1,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232019000100417&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=16&output=site&sort=&format=summary&fb=&page=2&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=2,0,en,Not Mined,2020-10-06 17:09:42.899075 UTC,ba026ef8-07f6-11eb-8e19-5652b1942a86,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132017000100501&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,0,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662017001100791&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,0,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1983-21252017000300622&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,1,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S2237-96222017000400857&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,1,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232018000100411&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,0,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1415-43662017001100791&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,1,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1516-89132017000100501&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,1,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582017000100240&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,0,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1983-21252017000300633&lng=en&tlng=en,https://search.scielo.org/?q=%28salad%29+OR+%28carrot%29&lang=en&count=15&from=46&output=site&sort=&format=summary&fb=&page=4&filter%5Bin%5D%5B%5D=scl&q=%28salad%29+OR+%28carrot%29&lang=en&page=4,1,en,Not Mined,2020-10-06 17:09:44.901547 UTC,bb342c1c-07f6-11eb-9e4f-72f57daa616d,{}
